OntologyName JsonPath source
dpv:imageIdentifier image_identifier inspect
layer_identifier_package components.layersID.* syft
layer_identifier_image RootFS.Layers inspect
c2t:packageURL components.purl syft
dpv:tag RepoTags inspect
c2t:operativeSystem Os inspect
c2t:architecture Architecture inspect
c2t:name components.name syft
c2t:language components.syft:package:language syft
c2t:packageURL components.purl syft
c2t:version components.version syft
c2t:publisher components.publisher syft
c2t:license components.licenses.license.id syft
